Wavelength (?m),n,k
0.2,1.396,1.1×10?7
0.225,1.373,4.9×10?8
0.25,1.362,3.35×10?8
0.275,1.354,2.35×10?8
0.3,1.349,1.6×10?8
0.325,1.346,1.08×10?8
0.35,1.343,6.5×10?9
0.375,1.341,3.5×10?9
0.4,1.339,1.86×10?9
0.425,1.338,1.3×10?9
0.45,1.337,1.02×10?9
0.475,1.336,9.35×10?10
0.5,1.335,1.00×10?9
0.525,1.334,1.32×10?9
0.55,1.333,1.96×10?9
0.575,1.333,3.60×10?9
0.6,1.332,1.09×10?8
0.625,1.332,1.39×10?8
0.65,1.331,1.64×10?8
0.675,1.331,2.23×10?8
0.7,1.331,3.35×10?8
0.725,1.33,9.15×10?8
0.75,1.33,1.56×10?7
0.775,1.33,1.48×10?7
0.8,1.329,1.25×10?7
0.825,1.329,1.82×10?7
0.85,1.329,2.93×10?7
0.875,1.328,3.91×10?7
0.9,1.328,4.86×10?7
0.925,1.328,1.06×10?6
0.95,1.327,2.93×10?6
0.975,1.327,3.48×10?6
1,1.327,2.89×10?6
1.2,1.324,9.89×10?6
1.4,1.321,1.38×10?4
1.6,1.317,8.55×10?5
1.8,1.312,1.15×10?4
2,1.306,1.1×10?3
2.2,1.296,2.89×10?4
2.4,1.279,9.56×10?4
2.6,1.242,3.17×10?3
2.65,1.219,6.7×10?5
2.7,1.188,0.019
2.75,1.157,0.059
2.8,1.142,0.115
2.85,1.149,0.185
2.9,1.201,0.268
2.95,1.292,0.298
3,1.371,0.272
3.05,1.426,0.24
3.1,1.467,0.192
3.15,1.483,0.135
3.2,1.478,0.0924
3.25,1.467,0.061
3.3,1.45,0.0368
3.35,1.432,0.0261
3.4,1.42,0.0195
3.45,1.41,0.0132
3.5,1.4,0.0094
3.6,1.385,0.00515
3.7,1.374,0.0036
3.8,1.364,0.0034
3.9,1.357,0.0038
4,1.351,0.0046
4.1,1.346,0.00562
4.2,1.342,0.00688
4.3,1.338,0.00845
4.4,1.334,0.0103
4.5,1.332,0.0134
4.6,1.33,0.0147
4.7,1.33,0.0157
4.8,1.33,0.015
4.9,1.328,0.0137
5,1.325,0.0124
5.1,1.322,0.0111
5.2,1.317,0.0101
5.3,1.312,0.0098
5.4,1.305,0.0103
5.5,1.298,0.0116
5.6,1.289,0.0142
5.7,1.277,0.0203
5.8,1.262,0.033
5.9,1.248,0.0622
6,1.265,0.107
6.1,1.319,0.131
6.2,1.363,0.088
6.3,1.357,0.057
6.4,1.347,0.0449
6.5,1.339,0.0392
6.6,1.334,0.0356
6.7,1.329,0.0337
6.8,1.324,0.0327
6.9,1.321,0.0322
7,1.317,0.032
